"kind"	"key"	"source"	"origin"
"Enum"	"DeferredStepTiming.AfterCurrentGroupTiming"	"DeferredStepTiming"	"Runtime"
"Enum"	"DeferredStepTiming.AfterCurrentGroupTiming"	"PSB_ChildSpawners._timing"	"StaticEnum"
"Enum"	"DeferredStepTiming.AfterCurrentStep"	"DeferredStepTiming"	"Runtime"
"Enum"	"DeferredStepTiming.AfterCurrentStep"	"PSB_ChildSpawners._timing"	"StaticEnum"
"Enum"	"DeferredStepTiming.AfterDone"	"DeferredStepTiming"	"Runtime"
"Enum"	"DeferredStepTiming.AfterDone"	"PSB_ChildSpawners._timing"	"StaticEnum"
"Enum"	"DeferredStepTiming.None"	"DeferredStepTiming"	"Runtime"
"Enum"	"DeferredStepTiming.None"	"PSB_ChildSpawners._timing"	"StaticEnum"
"Enum"	"Peak.ProcGen.ValidationState.Failed"	"Peak.ProcGen.ValidationState"	"Runtime"
"Enum"	"Peak.ProcGen.ValidationState.Failed"	"PropGrouper.<ValidationState>k__BackingField"	"StaticEnum"
"Enum"	"Peak.ProcGen.ValidationState.Failed"	"PropSpawner.<ValidationState>k__BackingField"	"StaticEnum"
"Enum"	"Peak.ProcGen.ValidationState.Passed"	"Peak.ProcGen.ValidationState"	"Runtime"
"Enum"	"Peak.ProcGen.ValidationState.Passed"	"PropGrouper.<ValidationState>k__BackingField"	"StaticEnum"
"Enum"	"Peak.ProcGen.ValidationState.Passed"	"PropSpawner.<ValidationState>k__BackingField"	"StaticEnum"
"Enum"	"Peak.ProcGen.ValidationState.Unknown"	"Peak.ProcGen.ValidationState"	"Runtime"
"Enum"	"Peak.ProcGen.ValidationState.Unknown"	"PropGrouper.<ValidationState>k__BackingField"	"StaticEnum"
"Enum"	"Peak.ProcGen.ValidationState.Unknown"	"PropSpawner.<ValidationState>k__BackingField"	"StaticEnum"
"Enum"	"Segment.Alpine"	"Campfire_Set_Segment.Segment"	"StaticEnum"
"Enum"	"Segment.Beach"	"Campfire_Set_Segment.Segment"	"StaticEnum"
"Enum"	"Segment.Caldera"	"Campfire_Set_Segment.Segment"	"StaticEnum"
"Enum"	"Segment.Peak"	"Campfire_Set_Segment.Segment"	"StaticEnum"
"Enum"	"Segment.TheKiln"	"Campfire_Set_Segment.Segment"	"StaticEnum"
"Enum"	"Segment.Tropics"	"Campfire_Set_Segment.Segment"	"StaticEnum"
"Enum"	"UnityEngine.QueryTriggerInteraction.Collide"	"SwampMeshGen.triggerInteraction"	"StaticEnum"
"Enum"	"UnityEngine.QueryTriggerInteraction.Ignore"	"SwampMeshGen.triggerInteraction"	"StaticEnum"
"Enum"	"UnityEngine.QueryTriggerInteraction.UseGlobal"	"SwampMeshGen.triggerInteraction"	"StaticEnum"
"Field"	"<ValidationState>k__BackingField"	"PropGrouper"	"StaticField"
"Field"	"<ValidationState>k__BackingField"	"PropSpawner"	"StaticField"
"Field"	"<ValidationState>k__BackingField"	"WallRocks"	"Runtime"
"Field"	"<spawnedProps>k__BackingField"	"PropSpawner_Sphere"	"StaticField"
"Field"	"Deadzone"	"PSC_Embedded"	"StaticField"
"Field"	"Segment"	"Campfire_Set_Segment"	"StaticField"
"Field"	"ValidateAfterwards"	"PropGrouper"	"StaticField"
"Field"	"ValidateAfterwards"	"WallRocks"	"Runtime"
"Field"	"_deferredSteps"	"PropSpawner"	"StaticField"
"Field"	"_deferredSteps"	"PropSpawner_Sphere"	"StaticField"
"Field"	"_hm"	"SwampMeshGen"	"StaticField"
"Field"	"_madeDummyData"	"PropSpawner"	"StaticField"
"Field"	"_propSpawnData"	"PropSpawner"	"StaticField"
"Field"	"_timing"	"PSB_ChildSpawners"	"Runtime"
"Field"	"_timing"	"PSB_ChildSpawners"	"StaticField"
"Field"	"baseFog"	"SpecialDayZone"	"StaticField"
"Field"	"blockerObjects"	"DesertRockSpawner"	"StaticField"
"Field"	"blurIterations"	"SwampMeshGen"	"StaticField"
"Field"	"blurRadius"	"SwampMeshGen"	"StaticField"
"Field"	"cellSize"	"SwampMeshGen"	"StaticField"
"Field"	"center"	"SwampMeshGen"	"StaticField"
"Field"	"clampHeights"	"SwampMeshGen"	"StaticField"
"Field"	"drawRayGizmos"	"SwampMeshGen"	"StaticField"
"Field"	"drawSamplePoints"	"SwampMeshGen"	"StaticField"
"Field"	"enterenceObjects"	"DesertRockSpawner"	"StaticField"
"Field"	"enterences"	"DesertRockSpawner"	"StaticField"
"Field"	"heightOffset"	"SwampMeshGen"	"StaticField"
"Field"	"inside"	"DesertRockSpawner"	"StaticField"
"Field"	"layerMask"	"SwampMeshGen"	"StaticField"
"Field"	"maxRaycastLength"	"SwampMeshGen"	"StaticField"
"Field"	"minBadEffects"	"MushroomManager"	"StaticField"
"Field"	"minGoodEffects"	"MushroomManager"	"StaticField"
"Field"	"minMaxSpawn"	"DecorSpawner"	"StaticField"
"Field"	"mushroomEffects"	"MushroomManager"	"StaticField"
"Field"	"mushroomStamAmt"	"MushroomManager"	"StaticField"
"Field"	"mute"	"Campfire_Set_Segment"	"StaticField"
"Field"	"mute"	"PSB_ChildSpawners"	"StaticField"
"Field"	"mute"	"PSCP_ConnectTreePlatforms"	"StaticField"
"Field"	"mute"	"PSCP_Custom"	"StaticField"
"Field"	"mute"	"PSCP_LineCheck"	"StaticField"
"Field"	"mute"	"PSC_BannedMaterial"	"StaticField"
"Field"	"mute"	"PSC_CircleMask"	"StaticField"
"Field"	"mute"	"PSC_Embedded"	"StaticField"
"Field"	"mute"	"PSC_Height"	"StaticField"
"Field"	"mute"	"PSC_LineCheck"	"StaticField"
"Field"	"mute"	"PSC_NearObject"	"StaticField"
"Field"	"mute"	"PSC_Normal"	"StaticField"
"Field"	"mute"	"PSC_Perlin"	"StaticField"
"Field"	"mute"	"PSC_RequiredMaterial"	"StaticField"
"Field"	"mute"	"PSC_SameTypeDistance"	"StaticField"
"Field"	"mute"	"PSC_SurfaceRestrictions"	"StaticField"
"Field"	"mute"	"PSC_VolumeLight"	"StaticField"
"Field"	"mute"	"PSM_AddPlayerCountBasedDespawner"	"StaticField"
"Field"	"mute"	"PSM_BakedVolumeLightModiferIntensity"	"StaticField"
"Field"	"mute"	"PSM_BlastVine"	"StaticField"
"Field"	"mute"	"PSM_ChildSpawners"	"StaticField"
"Field"	"mute"	"PSM_LocalOffset"	"StaticField"
"Field"	"mute"	"PSM_NormalOffset"	"StaticField"
"Field"	"mute"	"PSM_PitonNormal"	"StaticField"
"Field"	"mute"	"PSM_PlacementOffset"	"StaticField"
"Field"	"mute"	"PSM_RandomOffset"	"StaticField"
"Field"	"mute"	"PSM_RandomRotation"	"StaticField"
"Field"	"mute"	"PSM_RandomScale"	"StaticField"
"Field"	"mute"	"PSM_RayDirectionOffset"	"StaticField"
"Field"	"mute"	"PSM_ReplaceMaterial"	"StaticField"
"Field"	"mute"	"PSM_ReplaceMaterialWithRayTargetMaterial"	"StaticField"
"Field"	"mute"	"PSM_SetForwardRotationToNormal"	"StaticField"
"Field"	"mute"	"PSM_SetMaterial"	"StaticField"
"Field"	"mute"	"PSM_SetMaterialOnChild"	"StaticField"
"Field"	"mute"	"PSM_SetMaterialsOnChild"	"StaticField"
"Field"	"mute"	"PSM_SetRandomMaterial"	"Runtime"
"Field"	"mute"	"PSM_SetRandomMaterial"	"StaticField"
"Field"	"mute"	"PSM_SetSpawnerPlayerCountRequirement"	"StaticField"
"Field"	"mute"	"PSM_SetUpRotationToNormal"	"StaticField"
"Field"	"mute"	"PSM_SingleItemSpawner"	"StaticField"
"Field"	"mute"	"PSM_SpecificRotation"	"StaticField"
"Field"	"mute"	"PSM_UpLerp"	"StaticField"
"Field"	"outVal"	"PSC_NearObject"	"StaticField"
"Field"	"overallSpawnChance"	"DecorSpawner"	"StaticField"
"Field"	"perlinAmount"	"SwampMeshGen"	"StaticField"
"Field"	"perlinScale"	"SwampMeshGen"	"StaticField"
"Field"	"postPerlinAmount"	"SwampMeshGen"	"StaticField"
"Field"	"postPerlinScale"	"SwampMeshGen"	"StaticField"
"Field"	"requiredParents"	"Array"	"Runtime"
"Field"	"requiredParents"	"PropDeleter"	"StaticField"
"Field"	"resolution"	"SwampMeshGen"	"StaticField"
"Field"	"returnVal"	"PSC_BannedMaterial"	"StaticField"
"Field"	"scaleMinMax"	"DecorSpawner"	"StaticField"
"Field"	"spawnPoints"	"DecorSpawner"	"StaticField"
"Field"	"spawnedObjects"	"DecorSpawner"	"StaticField"
"Field"	"triggerInteraction"	"SwampMeshGen"	"StaticField"
"Field"	"validationConstraints"	"PropSpawner"	"StaticField"
"Type"	"Campfire_Set_Segment"	"Campfire_Set_Segment"	"StaticType"
"Type"	"DecorSpawner"	"DecorSpawner"	"StaticType"
"Type"	"DesertRockSpawner"	"DesertRockSpawner"	"StaticType"
"Type"	"MushroomManager"	"MushroomManager"	"StaticType"
"Type"	"PSCP_ConnectTreePlatforms"	"ContextMenu"	"Runtime"
"Type"	"PSCP_ConnectTreePlatforms"	"PSCP_ConnectTreePlatforms"	"StaticType"
"Type"	"PSCP_Custom"	"ContextMenu"	"Runtime"
